mrd,Rz,Treatment,dafs
-6.661958073522572,22,Sync1,18
-7.345321110890014,22,Sync1,21
-7.981331887353776,22,Sync1,23
-8.416616721382985,22,Sync1,25
-8.550589177766081,22,Sync1,28
-9.90237455633888,22,Sync1,30
-9.759016527114811,22,Sync1,32
-10.349153384553356,22,Sync1,35
-10.896452190296776,22,Sync1,37
-11.365361791887208,22,Sync1,39
-11.572850303554734,22,Sync1,42
-12.229228457555555,22,Sync1,44
0,23,F-first,2
-1.939955825603356,23,F-first,4
-3.8480391047143905,23,F-first,7
-5.443361903621546,23,F-first,9
-5.890264023590257,23,F-first,11
-5.626036484654455,23,F-first,14
-7.384387668249042,23,F-first,16
-7.23189498585037,23,F-first,18
-7.139576537952417,23,F-first,21
-7.196972080257951,23,F-first,23
-7.423942185166716,23,F-first,25
-7.797721451513746,23,F-first,28
-9.19428110831863,23,F-first,30
-8.709763791972467,23,F-first,32
-9.409300072397496,23,F-first,35
-10.001951109190694,23,F-first,37
-10.340140859839403,23,F-first,39
-10.900209817389184,23,F-first,42
-11.507201665546352,23,F-first,44
0,25,G-first,2
0,25,G-first,4
-2.9263206553314554,25,G-first,7
-3.123381993039897,25,G-first,9
-4.729263694034889,25,G-first,11
-4.515993683090771,25,G-first,14
-5.710465880615287,25,G-first,16
-5.70390350583804,25,G-first,18
-6.124372613511267,25,G-first,21
-5.988837373486781,25,G-first,23
-6.344643240611685,25,G-first,25
-6.775019992571603,25,G-first,28
-7.876555759774827,25,G-first,30
-7.552486314872514,25,G-first,32
-7.966638194562968,25,G-first,35
-8.809418884312068,25,G-first,37
-9.06685468989581,25,G-first,39
-9.759916822925684,25,G-first,42
-10.409724628743144,25,G-first,44
-0.9422737653038744,26,L-first,2
-2.620996474020789,26,L-first,4
-4.825716757648446,26,L-first,7
-5.719972070453677,26,L-first,9
-6.483645189717354,26,L-first,11
-6.955098134095622,26,L-first,14
-8.043268244744052,26,L-first,16
-8.318839829695893,26,L-first,18
-9.963858332942042,26,L-first,21
-11.128593487057746,26,L-first,23
-12.281101500375982,26,L-first,25
-12.607833706042756,26,L-first,28
-14.080814044295089,26,L-first,30
-13.188586231487813,26,L-first,32
-13.68679072653525,26,L-first,35
-14.49924739440781,26,L-first,37
-14.823543172396471,26,L-first,39
-15.84088365812854,26,L-first,42
-16.681395087750804,26,L-first,44
-0.9643552373580696,29,L-first,2
